Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
6/9/2015,28.47789192,21.27400017,26.90471458,73.34680939,50.33423615,80.1104126,39.44390106,0.528979003,58.91354752,53.60666275
6/10/2015,28.80420303,21.53849983,27.42280388,73.84719086,51.14342499,81.590065,40.27338409,0.51954174,59.39139557,54.00593948
6/11/2015,28.73937988,21.64850044,27.29575729,74.11605072,51.33821869,81.26235199,40.12649155,0.525107205,59.29433441,53.92988586
6/12/2015,28.42201614,21.49600029,27.16822624,73.45137787,51.13591385,80.96443176,39.72038269,0.510829985,58.89114761,53.25171661
6/15/2015,28.3661499,21.18350029,26.94639969,72.80909729,50.94110489,80.15011597,39.29699707,0.509862006,58.33112335,53.06158066
6/16/2015,28.51812363,21.36300087,27.03919983,73.45883942,51.22585297,80.49770355,39.59941864,0.516154051,59.06287003,53.67002487
6/17/2015,28.45107651,21.39049911,27.1250515,73.73517609,51.05349731,81.22264099,39.72038269,0.522203445,59.79463959,53.70172501
6/18/2015,28.58069611,21.96949959,27.60045815,74.95251465,51.5330162,82.33486176,40.36843872,0.530914843,60.34719086,54.17707443
6/19/2015,28.29462814,21.74600029,27.66695595,74.57909393,51.00855637,81.93763733,39.83271027,0.529220939,60.13811111,54.00593948
6/22/2015,28.52036476,21.81450081,27.77414513,74.75085449,51.66788483,84.15216064,39.9450531,0.527043104,60.07088089,53.98059464
6/23/2015,28.3907299,22.29949951,27.95825386,74.51934814,52.25979614,87.27037811,39.66854858,0.513492048,59.57809067,53.91720963
6/24/2015,28.63210678,22.04199982,27.7190609,74.18327332,51.71283722,88.24359131,39.43525314,0.508410275,59.36901855,53.67002487
6/25/2015,28.49577713,22.00499916,27.68829536,74.02643585,51.43562317,87.36969757,39.44390106,0.512281954,59.27940369,53.19467163
6/26/2015,28.32815552,21.90500069,27.44563103,74.41477966,51.66041565,87.39949036,39.10691071,0.501876712,59.24206161,53.15030289
6/29/2015,27.8319931,21.49300003,26.8595562,72.95098114,50.34921646,85.20482635,38.3379097,0.486873627,58.48044968,52.49116135
6/30/2015,28.03313637,21.7045002,26.79951096,72.7866745,50.76879501,85.17502594,38.14783096,0.486631572,58.42072678,52.73200226
7/1/2015,28.29462814,21.86949921,26.96129036,73.541008,51.33440399,86.30712891,38.4070282,0.493649155,59.52581406,52.20595932
